video id,avg rating,description,encoding,genres,mpaa rating,preview thumbnails,release date,tags,title,type,url,user id
8a240e0f-0ef2-11e5-a6ef-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Drama'}",R,{},2010-05-17,{},"Biutiful",Trailer,"http://www.youtube.com/watch?v=m_OrqZQV8p8",63d97ca8-4630-4bad-805f-3bda997f3dcc
85ababd7-0ef2-11e5-a527-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'War film','Drama','Action Film','History'}",R,{},2001-09-07,{},"The Warrior",Trailer,"http://www.youtube.com/watch?v=C7Vg1HcgL8U",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a55ccdc-0ef2-11e5-89c4-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Action Film','Adventure Film','Horror','Science Fiction','Monster movie','Comedy'}",PG-13,{},2013-03-11,{},"Mega Spider",Trailer,"http://www.epic-pictures.com/Films.aspx",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a186c40-0ef2-11e5-8c92-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Action Film','Crime Fiction'}",R,{},2010-03-12,{},"Kick-Ass",Trailer,"http://www.youtube.com/watch?v=rFpWpkxsVI8",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a638edc-0ef2-11e5-8d19-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Adventure Film','Science Fiction','Action Film'}",PG-13,{},2014-06-19,{},"Transformers: Age of Extinction",Trailer,"http://www.youtube.com/watch?v=ubGpDoyJvmI",63d97ca8-4630-4bad-805f-3bda997f3dcc
810adffa-0ef2-11e5-a8a6-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Family','Teen film','Comedy-drama','Sports','Drama','Comedy'}",PG,{},1993-04-07,{},"The Sandlot",Trailer,"http://www.youtube.com/embed/-QDq-e1GbjE",63d97ca8-4630-4bad-805f-3bda997f3dcc
85aa22d4-0ef2-11e5-8c13-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Adventure Film','Mystery','Family','Fiction'}",PG,{},2004-05-31,{},"Harry Potter and the Prisoner of Azkaban",Trailer,"http://youtu.be/lAxgztbYDbs",63d97ca8-4630-4bad-805f-3bda997f3dcc
8a14f380-0ef2-11e5-979e-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Animal Picture','Drama','Film adaptation','Animation','Indie film'}",PG,{},2010-09-01,{},"My Dog Tulip",Trailer,"http://www.traileraddict.com/trailer/my-dog-tulip/trailer",63d97ca8-4630-4bad-805f-3bda997f3dcc
87c8be21-0ef2-11e5-b626-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'War film','Historical drama','Documentary film','Political drama'}",R,{},2007-01-01,{},"Nanking",Trailer,"http://nankingthefilm.com/trailer.htm",63d97ca8-4630-4bad-805f-3bda997f3dcc
878a5c17-0ef2-11e5-8c09-8438355b7e3a,,"","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}","{'Mystery','Horror','Indie film','Thriller'}",R,{},2007-10-14,{},"Paranormal Activity",Trailer,"http://www.youtube.com/watch?v=F_UxLEqd074",63d97ca8-4630-4bad-805f-3bda997f3dcc
